lakeID,lakeName,County,siteID,latitude,longitude,surfaceArea_km2,maxDepth_m,meanDepth_m,volume_m3,watershedArea_km2
85,Mitchell Lake,Black Hawk,22070004,42.47755786,-92.31414892,0.02,5.67,3.84,741321.48,0.21
86,Moorehead Park Pond,Ida,22470002,42.35749985,-95.48026638,0.04,6.13,3.08,131982.36,1.99
87,Mormon Trail Lake,Adair,22010004,41.24304595,-94.63505823,0.13,9.8,4.21,561233.4,1.58
88,Nelson Park Lake,Crawford,22240001,41.93682519,-95.58858152,0.04,7.83,2.16,101515.404,2.33
89,Nine Eagles Lake,Decatur,22270002,40.59674414,-93.77229805,0.25,10.36,3.78,968898.54,4.82
90,North Twin Lake,Calhoun,22130001,42.47573625,-94.63881754,1.83,3.57,2.65,4920351.72,3.51
91,Oldham Lake,Monona,22670001,42.00813749,-95.79003142,0.05,5.58,2.13,118414.08,2.79
92,Otter Creek Lake,Tama,22860002,42.04265819,-92.51993893,0.3,6.98,2.62,687541.752,4.16
93,Ottumwa Lagoon,Wappello,22900001,41.006846,-92.42914409,0.24,4.27,1.1,54026.424,9.03
94,Pierce Creek Pond,Page,22730001,40.8312992,-95.35765094,0.13,2.96,1.13,149744.472,11.29
95,Pleasant Creek Lake,Linn,22570001,42.12439864,-91.81121597,1.62,16.82,4.79,7774624.44,8.41
96,Poll Miller Park Lake,Lee,22560001,40.71272447,-91.43585458,0.07,8.23,3.17,229057.236,0.93
97,Prairie Rose Lake,Shelby,22830002,41.60113204,-95.22642704,0.79,7.62,2.59,2038942.44,18.79
98,Rathbun Reservoir,Appanoose,22040001,40.82779699,-92.89001429,44.51,14.63,,,1421.9
99,Red Haw Lake,Lucas,22590002,41.00091268,-93.27199628,0.31,10.85,4.02,1237180.44,4.12
101,Roberts Creek Lake,Marion,22630002,41.42146007,-93.04893283,1.17,6.22,2.96,3431541.36,32.8
102,Rock Creek Lake,Jasper,22500001,41.73962587,-92.85499262,1.89,5.43,2.47,4463224.032,108.13
103,Rodgers Park Lake,Benton,22060002,42.20121737,-92.07572452,0.09,4.54,1.71,167876.628,7.79
105,Silver Lake Dickinson,Dickinson,22300007,43.43924677,-95.33695717,4.3,2.87,1.98,8559117.72,46.25
106,Silver Lake Worth,Worth,,43.48233,-93.416139,1.28,2.23,1.46,2023277.24,
107,Silver Lake Delaware,Delaware,22280001,42.42350719,-91.32714783,0.14,5.18,2.13,335506.56,0.76
108,Silver Lake Palo Alto,Palo Alto,22740003,43.03079128,-94.88375475,2.62,1.95,1.31,3430924.62,32.36
109,Slip Bluff Lake,Decatur,22270003,40.6537792,-93.85280973,0.06,7.01,3.08,248176.176,0.93
110,South Prairie Lake,Black Hawk,22070005,42.47821338,-92.46034273,0.09,5.88,2.93,288634.32,
111,Spring Lake,Greene,22370001,42.06466794,-94.28976511,0.21,2.07,0.88,191066.052,1.46
112,Springbrook Lake,Guthrie,22390001,41.7760289,-94.4666983,0.06,6.86,2.47,136669.584,5.02
113,Storm Lake (incl Little Storm Lake),Buena Vista,22110001,42.62160569,-95.20409014,12.53,6.19,2.59,32703255.24,55.73
114,Swan Lake,Carroll,22140001,42.03520542,-94.84120621,0.49,3.63,1.74,838766.4,2.77
115,Thayer Lake,Union,22880002,41.02180812,-94.06578112,0.04,3.96,1.52,77832.588,2.09
116,Three Mile Lake,Union,22880003,41.072159,-94.21358476,3.56,14.33,5.21,16638411.72,
119,Twelve Mile Creek Lake,Union,22880004,41.05527757,-94.25493613,2.57,12.8,5.12,12283980.62,56.98
120,Union Grove Lake,Tama,22860003,42.12504599,-92.7200785,0.4,6.1,2.65,1077444.78,26.87
121,Upper Gar Lake,Dickinson,22300013,43.36960921,-95.11989324,0.15,2.47,1.01,164669.58,1.79
122,Upper Pine Lake,Hardin,22420002,42.37371631,-93.06624457,0.28,4.63,2.32,688281.84,33.64
123,Viking Lake,Montgomery,22690001,40.97599971,-95.02934518,0.55,12.89,4.63,2711189.04,8.58
124,Frog Hollow,Fayette,22330001,42.89614962,-91.77022696,0.55,7.01,3.29,1756475.52,24.4
125,West Okoboji Lake,Dickinson,22300009,43.3735139,-95.14803606,15.57,42.37,11.16,175884380.2,56.04
126,West Lake,Clarke,22200002,41.04001287,-93.80502279,1.29,8.75,3.57,4448792.316,22.2
127,White Oak Conservation Area Lake,Mahaska,22620003,41.2735446,-92.47642485,0.07,5.58,2.07,152951.52,1.96
128,Williamson Pond,Lucas,22590001,41.09645556,-93.21547096,0.11,4.79,1.64,195999.972,6
129,Willow Lake,Harrison,22430002,41.76932061,-95.78910651,0.11,6.8,3.05,328105.68,1.94
130,Wilson Park Lake,Taylor,22870002,40.83757513,-94.54218145,0.07,5.7,2.23,154185,0.93
131,Windmill Lake,Taylor,22870003,40.73001196,-94.82651792,0.1,5.24,2.53,245215.824,1.82
132,Yellow Smoke Park Lake,Crawford,22240002,42.02332206,-95.32506982,0.16,9.08,3.2,513991.116,6.15
205,Belva Deer Lake,Keokuk,22540001,41.37763266,-92.12330895,1.07,12.56,,,
207,Binder Lake,Adams,22020002,,,0.31,5.73,,,
209,Black Pit,Cerro Gordo,22170003,,,0.06,5.18,,,
210,Blue Heron Lake,Polk,22770007,,,0.94,8.93,,,
211,Blue Pit,Cerro Gordo,22170004,,,0.06,10.36,,,
222,Fin and Feather Lake,Cerro Gordo,22170005,,,0.04,3.05,,,
226,Grays Lake,Polk,22770006,,,0.39,5,,,
228,Gustafson Lake,Buena Vista,22110002,,,,,,,
238,Loch Ayr,Ringgold,22800002,,,,,,,
244,Newell Pit,Buena Vista,22110003,,,,,,,
245,Nodaway Lake,Adair,22010005,41.28936832,-94.49756569,0.1,6.98,,,
257,Snyder Bend Lake,Woodbury,22970003,42.281611,-96.33555537,1.51,3.72,,,
258,Spring Lake,Cherokee,22180001,,,0.21,2.07,,,
259,Summit Lake,Union,22880005,41.05974847,-94.39712738,1.01,3.29,,,
267,Cedar Lake,Madison,22610005,,,0.34,,,,
300,Big Hollow Lake,Des Moines,22290002,40.94364783,-91.23694729,0.72,17.31,,,
301,Rudd Lake,Floyd,22340001,43.12570547,-92.89188857,0.05,5.49,,,
304,Lost Grove Lake,Scott,14000134,41.66968315,-90.43636513,1.62,15.24,,,
400,Ada Hayden Lake,Story,14000134,42.065938,-93.62779637,0.55,18.59,,,
408,Sands Timber Lake,Taylor,14000243,,,,,,,
409,Twelve Mile Lake,Emmet,14000249,,,,,,,
412,Bluegrass Lake,Scott,14000248,,,,,,,
413,Ellis Lake,Lucas,14000245,,,,,,,
414,Fort Des Moines Park Pond,Polk,14000250,,,,,,,
415,Lambach Lake,Scott,14000247,,,,,,,
416,McKinley Lake,Union,14000244,,,,,,,
417,Morris Lake,Morris,14000246,,,,,,,
